snr,seed,method,rmse,lambda,time,error
1.0,0,lowrank_cv,0.5795485377311707,16.082336753080924,11.148709968663752,
1.0,0,iso_auto,0.5207470059394836,24.89765739440918,1.8461790829896927,
1.0,0,iso_grid,0.5411787033081055,31.05013084411621,7.25981833320111,
1.0,0,iso_cv,0.5041202306747437,16.082336753080924,28.931123450398445,
1.0,1,proximal_cv,0.36341550946235657,16.067697525024414,34.914123489521444,
1.0,1,matlap_auto,0.5120929479598999,25.236976623535156,1.2691888809204102,
1.0,1,matlap_grid,0.532917320728302,31.021869659423828,4.910865976475179,
1.0,1,lowrank_auto,1.0036141872406006,392.9236755371094,1.7157062133774161,
1.0,1,lowrank_grid,0.5696502327919006,16.067697525024414,3.1113881124183536,
1.0,1,lowrank_cv,0.5696468353271484,16.06769837109071,11.006782009266317,
1.0,1,iso_auto,0.5167279243469238,25.2164249420166,1.9179823491722345,
1.0,1,iso_grid,0.5362818837165833,31.021869659423828,7.381586376577616,
1.0,1,iso_cv,0.4989640414714813,16.06769837109071,28.572331276722252,
1.0,2,proximal_cv,0.3711708188056946,16.115217208862305,31.23321803007275,
1.0,2,matlap_auto,0.5255419015884399,25.328502655029297,1.1853963378816843,
1.0,2,matlap_grid,0.5471807718276978,31.11361312866211,6.482655177824199,
1.0,2,lowrank_auto,1.0255593061447144,395.9667053222656,1.8016455937176943,
1.0,2,lowrank_grid,0.5861615538597107,16.115217208862305,2.909601873718202,
1.0,2,lowrank_cv,0.5389581918716431,31.11361253840518,11.158128758892417,
1.0,2,iso_auto,0.5306681990623474,25.321487426757812,1.9240549160167575,
1.0,2,iso_grid,0.5509541034698486,31.11361312866211,7.233659949153662,
1.0,2,iso_cv,0.5117614269256592,16.115216832208038,28.31403731647879,
3.0,0,proximal_cv,0.402268648147583,16.08233642578125,39.27557411696762,
3.0,0,matlap_auto,0.5805632472038269,13.195221900939941,0.5994712747633457,
3.0,0,matlap_grid,0.5796456336975098,16.08233642578125,10.172662338241935,
3.0,0,lowrank_auto,0.8196911811828613,9.081443786621094,0.8573344061151147,
3.0,0,lowrank_grid,0.847736656665802,8.329805374145508,4.827848085202277,
3.0,0,lowrank_cv,0.6718572378158569,16.082336753080924,20.58618944324553,
3.0,0,iso_auto,0.6004623174667358,13.16343879699707,1.1475952686741948,
3.0,0,iso_grid,0.598533034324646,16.08233642578125,14.594134796410799,
3.0,0,iso_cv,0.5986579656600952,16.082336753080924,57.02459174301475,
3.0,1,proximal_cv,0.39651355147361755,16.067697525024414,40.0864335950464,
3.0,1,matlap_auto,0.5728352665901184,13.337671279907227,0.7440526681020856,
3.0,1,matlap_grid,0.5724177360534668,16.067697525024414,9.658366543240845,
3.0,1,lowrank_auto,0.7987591624259949,9.201741218566895,0.8970734607428312,
3.0,1,lowrank_grid,0.8302543759346008,8.322223663330078,5.480065577663481,
3.0,1,lowrank_cv,0.6600119471549988,16.06769837109071,21.727556836791337,
3.0,1,iso_auto,0.5925325155258179,13.306900978088379,1.148582635447383,
3.0,1,iso_grid,0.5912020802497864,16.067697525024414,13.226759273558855,
3.0,1,iso_cv,0.5912596583366394,16.06769837109071,57.164189900271595,
3.0,2,proximal_cv,0.40581628680229187,16.115217208862305,39.60818067472428,
3.0,2,matlap_auto,0.5928716659545898,13.39229965209961,0.6534084379673004,
3.0,2,matlap_grid,0.5923954248428345,16.115217208862305,11.005011861212552,
3.0,2,lowrank_auto,0.8264833092689514,9.224142074584961,0.8706101914867759,
3.0,2,lowrank_grid,0.859036386013031,8.34683609008789,6.270010835491121,
3.0,2,lowrank_cv,0.684688925743103,16.115216832208038,22.58109082467854,
3.0,2,iso_auto,0.6118932962417603,13.365533828735352,1.2500994047150016,
3.0,2,iso_grid,0.6105793714523315,16.115217208862305,14.38348049018532,
3.0,2,iso_cv,0.6105510592460632,16.115216832208038,58.27281873766333,
10.0,0,proximal_cv,0.4149143695831299,16.08233642578125,41.85291133169085,
10.0,0,matlap_auto,0.6707466244697571,5.909882545471191,0.7257953640073538,
10.0,0,matlap_grid,0.7252000570297241,4.314401626586914,12.843291066586971,
10.0,0,lowrank_auto,1.3801933526992798,3.711899995803833,0.6708200145512819,
10.0,0,lowrank_grid,1.3156203031539917,4.314401626586914,6.691804328002036,
10.0,0,lowrank_cv,0.7982491254806519,31.050131044308962,30.32667083479464,
10.0,0,iso_auto,0.8069061636924744,5.855413436889648,1.6928472453728318,
10.0,0,iso_grid,0.8548951745033264,4.314401626586914,25.694565827958286,
10.0,0,iso_cv,0.7503885626792908,16.082336753080924,80.32034403365105,
10.0,1,proximal_cv,0.408948689699173,16.067697525024414,44.87204805202782,
10.0,1,matlap_auto,0.6568810939788818,5.988986968994141,0.6589879766106606,
10.0,1,matlap_grid,0.7136814594268799,4.310474872589111,10.69528662133962,
10.0,1,lowrank_auto,1.3237700462341309,3.765775442123413,0.6048172991722822,
10.0,1,lowrank_grid,1.266114354133606,4.310474872589111,6.598680420778692,
10.0,1,lowrank_cv,0.763739287853241,31.021868753445933,34.40196457691491,
10.0,1,iso_auto,0.7748462557792664,5.937821388244629,1.1627806900069118,
10.0,1,iso_grid,0.8236063718795776,4.310474872589111,18.264688572846353,
10.0,1,iso_cv,0.7216625809669495,16.06769837109071,77.55294678453356,
10.0,2,proximal_cv,0.41902410984039307,16.115217208862305,42.14949202630669,
10.0,2,matlap_auto,0.6861141324043274,6.0178656578063965,0.5541606023907661,
10.0,2,matlap_grid,0.7458648085594177,4.323222637176514,12.404502587392926,
10.0,2,lowrank_auto,1.4354305267333984,3.769719362258911,0.5151164224371314,
10.0,2,lowrank_grid,1.3669402599334717,4.323222637176514,5.941369072534144,
10.0,2,lowrank_cv,0.8178571462631226,31.11361253840518,31.558428969234228,
10.0,2,iso_auto,0.8173345923423767,5.963878631591797,1.4246212877333164,
10.0,2,iso_grid,0.8702055215835571,4.323222637176514,21.851730867289007,
10.0,2,iso_cv,0.7606372833251953,16.115216832208038,82.73855956550688,
