missing_frac,seed,method,rmse,lambda,time,error
0.1,1,matlap_auto,0.46744272112846375,25.76820945739746,1.029955018311739,
0.1,1,matlap_grid,0.4966776371002197,33.938560485839844,7.15231932234019,
0.1,1,lowrank_auto,1.0090709924697876,374.0951843261719,1.6607345389202237,
0.1,1,lowrank_grid,0.5702915787696838,14.691193580627441,4.728700046427548,
0.1,1,lowrank_cv,0.48686683177948,33.93856202926062,13.125178913585842,
0.1,1,iso_auto,0.4720509946346283,25.74564552307129,1.6098510967567563,
0.1,1,iso_grid,0.4995191991329193,33.938560485839844,11.071095996536314,
0.1,1,iso_cv,0.4510264992713928,14.691193324789916,42.158446536399424,
0.1,1,iso_grid_loo,0.4995191991329193,33.938560485839844,11.174969093874097,
0.1,1,iso_grid_renyi,0.45119529962539673,14.691193580627441,11.225501151755452,
0.1,1,iso_grid_is,0.4995191991329193,33.938560485839844,11.21134680788964,
0.1,1,iso_adaptive,0.45508548617362976,18.155108780423785,13.642241534776986,
0.1,2,proximal_cv,0.3620019257068634,14.74524974822998,40.24431555252522,
0.1,2,matlap_auto,0.4666312336921692,25.799293518066406,1.0187709461897612,
0.1,2,matlap_grid,0.4966793358325958,34.063438415527344,7.285927531309426,
0.1,2,lowrank_auto,1.0142885446548462,373.1626281738281,2.4717245120555162,
0.1,2,lowrank_grid,0.5723859071731567,14.74524974822998,4.945036008954048,
0.1,2,lowrank_cv,0.4924064576625824,34.06343936730628,13.160321960225701,
0.1,2,iso_auto,0.47182604670524597,25.770156860351562,1.6088834945112467,
0.1,2,iso_grid,0.5002590417861938,34.063438415527344,11.251350344158709,
0.1,2,iso_cv,0.44970256090164185,14.745249743371591,42.62377447448671,
0.1,2,iso_grid_loo,0.5002590417861938,34.063438415527344,11.248728099279106,
0.1,2,iso_grid_renyi,0.4498625695705414,14.74524974822998,11.257672626525164,
0.1,2,iso_grid_is,0.4498625695705414,14.74524974822998,11.213100931607187,
0.1,2,iso_adaptive,0.4541904032230377,18.2219095781656,13.28454555477947,
0.3,0,proximal_cv,0.3879268169403076,14.724919319152832,43.114421057514846,
0.3,0,matlap_auto,0.5704044699668884,24.298612594604492,1.1083298176527023,
0.3,0,matlap_grid,0.6079906225204468,34.01647186279297,8.529625811614096,
0.3,0,lowrank_auto,1.0287158489227295,405.9499206542969,1.687877587042749,
0.3,0,lowrank_grid,0.6224660873413086,14.724919319152832,3.2914625285193324,
0.3,0,lowrank_cv,0.6225875616073608,14.724918978271727,13.07301536295563,
0.3,0,iso_auto,0.5746923685073853,24.286420822143555,2.07504806201905,
0.3,0,iso_grid,0.610518217086792,34.01647186279297,11.828738018870354,
0.3,0,iso_cv,0.5626073479652405,14.724918978271727,43.41573717072606,
0.3,0,iso_grid_loo,0.610518217086792,34.01647186279297,11.84085199330002,
0.3,0,iso_grid_renyi,0.5625246167182922,14.724919319152832,11.859580119140446,
0.3,0,iso_grid_is,0.5625246167182922,14.724919319152832,11.884302033111453,
0.3,0,iso_adaptive,0.5630180835723877,18.196786746722836,13.783557306975126,
0.3,1,proximal_cv,0.3877798318862915,14.674092292785645,43.37111923843622,
0.3,1,matlap_auto,0.5718098282814026,24.614227294921875,1.079827181994915,
0.3,1,matlap_grid,0.6080515384674072,33.89905548095703,7.710013875737786,
0.3,1,lowrank_auto,1.0090982913970947,409.644775390625,2.4882985847070813,
0.3,1,lowrank_grid,0.6137382388114929,14.674092292785645,3.467143845744431,
0.3,1,lowrank_cv,0.6138408184051514,14.674092692976087,13.680197201669216,
0.3,1,iso_auto,0.5758087635040283,24.58367347717285,1.9802225641906261,
0.3,1,iso_grid,0.6103015542030334,33.89905548095703,11.903590319678187,
0.3,1,iso_cv,0.5627593398094177,14.674092692976087,42.98847318906337,
0.3,1,iso_grid_loo,0.6103015542030334,33.89905548095703,11.818697545677423,
0.3,1,iso_grid_renyi,0.5626976490020752,14.674092292785645,12.008035802282393,
0.3,1,iso_grid_is,0.5626976490020752,14.674092292785645,11.933385843411088,
0.3,1,iso_adaptive,0.5631091594696045,18.13397606001372,13.32961274124682,
0.3,2,proximal_cv,0.39955073595046997,14.763891220092773,43.29363451804966,
0.3,2,matlap_auto,0.5846854448318481,24.732341766357422,1.1564633175730705,
0.3,2,matlap_grid,0.622113049030304,34.106502532958984,8.589545376598835,
0.3,2,lowrank_auto,1.0169527530670166,412.6143493652344,1.7320876270532608,
0.3,2,lowrank_grid,0.6321220397949219,14.763891220092773,3.407816441729665,
0.3,2,lowrank_cv,0.6322591304779053,14.76389140225428,13.267508717253804,
0.3,2,iso_auto,0.5888463854789734,24.718643188476562,2.1899499148130417,
0.3,2,iso_grid,0.6246718764305115,34.106502532958984,12.264317508786917,
0.3,2,iso_cv,0.5744026303291321,14.76389140225428,42.732264414429665,
0.3,2,iso_grid_loo,0.6246718764305115,34.106502532958984,12.174397635273635,
0.3,2,iso_grid_renyi,0.5742984414100647,14.763891220092773,12.200852083973587,
0.3,2,iso_grid_is,0.5742984414100647,14.763891220092773,12.165654805488884,
0.3,2,iso_adaptive,0.5752961039543152,18.24494871041701,13.503094248473644,
0.6,0,proximal_cv,0.4932129681110382,14.717402458190918,42.77000166475773,
0.6,0,matlap_auto,0.8392817974090576,22.38369369506836,1.4743380835279822,
0.6,0,matlap_grid,0.875912606716156,33.999107360839844,7.5016187792643905,
0.6,0,lowrank_auto,1.0362229347229004,452.3331604003906,1.6675252597779036,
0.6,0,lowrank_grid,0.7995939254760742,14.717402458190918,4.631275099702179,
