embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Liver cell,F1,-0.6081928014755249,723
atlas SP,Liver cell,F2,-0.5691724419593811,723
atlas SP,Liver cell,F3,-0.39195868372917175,723
atlas SP,Liver cell,F4,-0.35387086868286133,723
atlas SP,Liver cell,F5,-0.3279150724411011,723
atlas SP,Liver cell,F6,-0.29789599776268005,723
atlas SP,Liver cell,F7,-0.285971462726593,723
atlas SP,Liver cell,F8,-0.10045405477285385,723
atlas SP,Liver cell,F9,-0.1893261969089508,723
atlas SP,Liver cell,F10,-0.19129382073879242,723
atlas SP,Liver cell,F11,-0.015599599108099937,723
atlas SP,Liver cell,F12,1.147341012954712,723
atlas SP,Liver cell,F13,-0.14796209335327148,723
atlas SP,Liver cell,F14,-0.3862026035785675,723
atlas SP,Liver cell,F15,0.5848588347434998,723
atlas SP,Liver cell,F16,0.16195279359817505,723
atlas SP,Liver cell,F17,0.06160837784409523,723
atlas SP,Liver cell,F18,-0.059220314025878906,723
atlas SP,Liver cell,F19,-0.0009352703928016126,723
atlas SP,Liver cell,F20,0.06147627905011177,723
atlas SP,Cardiac cell,F1,-0.6114166975021362,579
atlas SP,Cardiac cell,F2,-0.573097288608551,579
atlas SP,Cardiac cell,F3,-0.4248305559158325,579
atlas SP,Cardiac cell,F4,-0.4446321427822113,579
atlas SP,Cardiac cell,F5,-0.3356347978115082,579
atlas SP,Cardiac cell,F6,-0.3037131726741791,579
atlas SP,Cardiac cell,F7,-0.30768799781799316,579
atlas SP,Cardiac cell,F8,-0.10372918844223022,579
atlas SP,Cardiac cell,F9,-0.18212063610553741,579
atlas SP,Cardiac cell,F10,-0.15823982656002045,579
atlas SP,Cardiac cell,F11,-0.15448634326457977,579
atlas SP,Cardiac cell,F12,-0.6068411469459534,579
atlas SP,Cardiac cell,F13,0.3722335994243622,579
atlas SP,Cardiac cell,F14,0.7552891969680786,579
atlas SP,Cardiac cell,F15,-0.15565259754657745,579
atlas SP,Cardiac cell,F16,1.4097391366958618,579
atlas SP,Cardiac cell,F17,-0.12226836383342743,579
atlas SP,Cardiac cell,F18,-0.04541472718119621,579
atlas SP,Cardiac cell,F19,-0.13592223823070526,579
atlas SP,Cardiac cell,F20,-0.20374341309070587,579
atlas SP,Bladder cell,F1,-0.613060474395752,521
atlas SP,Bladder cell,F2,-0.5732796788215637,521
atlas SP,Bladder cell,F3,-0.41630977392196655,521
atlas SP,Bladder cell,F4,-0.4479379653930664,521
atlas SP,Bladder cell,F5,-0.3387868106365204,521
atlas SP,Bladder cell,F6,-0.3066195547580719,521
atlas SP,Bladder cell,F7,-0.30220019817352295,521
atlas SP,Bladder cell,F8,-0.09819202125072479,521
atlas SP,Bladder cell,F9,-0.08763348311185837,521
atlas SP,Bladder cell,F10,-0.20028157532215118,521
atlas SP,Bladder cell,F11,-0.15877185761928558,521
atlas SP,Bladder cell,F12,-0.5314314961433411,521
atlas SP,Bladder cell,F13,3.367703914642334,521
atlas SP,Bladder cell,F14,2.401604413986206,521
atlas SP,Bladder cell,F15,-0.10810724645853043,521
atlas SP,Bladder cell,F16,0.31096309423446655,521
atlas SP,Bladder cell,F17,0.0015559443272650242,521
atlas SP,Bladder cell,F18,-0.055008359253406525,521
atlas SP,Bladder cell,F19,0.11043527722358704,521
atlas SP,Bladder cell,F20,-0.010615303181111813,521
atlas SP,Secretory cell,F1,-0.6132444739341736,309
atlas SP,Secretory cell,F2,-0.5732278227806091,309
atlas SP,Secretory cell,F3,-0.41850942373275757,309
atlas SP,Secretory cell,F4,-0.45101889967918396,309
atlas SP,Secretory cell,F5,-0.3418389856815338,309
atlas SP,Secretory cell,F6,-0.31208792328834534,309
atlas SP,Secretory cell,F7,-0.31316936016082764,309
atlas SP,Secretory cell,F8,-0.08841270208358765,309
atlas SP,Secretory cell,F9,-0.17270956933498383,309
atlas SP,Secretory cell,F10,-0.25605300068855286,309
atlas SP,Secretory cell,F11,3.4801294803619385,309
atlas SP,Secretory cell,F12,1.4927128553390503,309
atlas SP,Secretory cell,F13,-0.22086763381958008,309
atlas SP,Secretory cell,F14,-0.1849113255739212,309
atlas SP,Secretory cell,F15,4.377681732177734,309
atlas SP,Secretory cell,F16,-0.5368233323097229,309
atlas SP,Secretory cell,F17,-0.26079457998275757,309
atlas SP,Secretory cell,F18,-0.07135526090860367,309
atlas SP,Secretory cell,F19,-0.14653867483139038,309
atlas SP,Secretory cell,F20,-0.004811324644833803,309
atlas SP,Lung cell,F1,-0.6021917462348938,261
atlas SP,Lung cell,F2,-0.5684865713119507,261
atlas SP,Lung cell,F3,-0.393137127161026,261
atlas SP,Lung cell,F4,-0.4253785312175751,261
atlas SP,Lung cell,F5,-0.3272441625595093,261
atlas SP,Lung cell,F6,-0.27942681312561035,261
atlas SP,Lung cell,F7,-0.28489983081817627,261
atlas SP,Lung cell,F8,-0.09089848399162292,261
atlas SP,Lung cell,F9,0.07963600754737854,261
atlas SP,Lung cell,F10,-0.12366922944784164,261
atlas SP,Lung cell,F11,-0.02976151928305626,261
atlas SP,Lung cell,F12,0.809688150882721,261
atlas SP,Lung cell,F13,-0.0474223867058754,261
atlas SP,Lung cell,F14,0.6508663296699524,261
atlas SP,Lung cell,F15,0.2593971788883209,261
atlas SP,Lung cell,F16,-0.09407170861959457,261
atlas SP,Lung cell,F17,0.012623010203242302,261
atlas SP,Lung cell,F18,0.15624351799488068,261
atlas SP,Lung cell,F19,0.029302839189767838,261
atlas SP,Lung cell,F20,0.0237953532487154,261
atlas SP,Fenestrated cell,F1,-0.6110523343086243,239
atlas SP,Fenestrated cell,F2,-0.5726494193077087,239
atlas SP,Fenestrated cell,F3,-0.4262872040271759,239
atlas SP,Fenestrated cell,F4,-0.452236533164978,239
atlas SP,Fenestrated cell,F5,-0.3399226665496826,239
atlas SP,Fenestrated cell,F6,-0.3137824833393097,239
atlas SP,Fenestrated cell,F7,-0.30106353759765625,239
atlas SP,Fenestrated cell,F8,-0.02604006603360176,239
atlas SP,Fenestrated cell,F9,-0.185342475771904,239
atlas SP,Fenestrated cell,F10,-0.15555612742900848,239
atlas SP,Fenestrated cell,F11,-0.14343784749507904,239
atlas SP,Fenestrated cell,F12,-0.6117926836013794,239
atlas SP,Fenestrated cell,F13,0.21869675815105438,239
atlas SP,Fenestrated cell,F14,0.3445456922054291,239
atlas SP,Fenestrated cell,F15,-0.16734744608402252,239
atlas SP,Fenestrated cell,F16,1.6538670063018799,239
atlas SP,Fenestrated cell,F17,-0.15415053069591522,239
atlas SP,Fenestrated cell,F18,-0.07445693016052246,239
atlas SP,Fenestrated cell,F19,-0.042247872799634933,239
atlas SP,Fenestrated cell,F20,-0.28716516494750977,239
atlas SP,Kidney cell,F1,-0.5819931626319885,217
atlas SP,Kidney cell,F2,-0.5543197393417358,217
atlas SP,Kidney cell,F3,-0.36557886004447937,217
atlas SP,Kidney cell,F4,-0.38664135336875916,217
atlas SP,Kidney cell,F5,-0.2920011878013611,217
atlas SP,Kidney cell,F6,-0.26603958010673523,217
atlas SP,Kidney cell,F7,-0.2255270779132843,217
atlas SP,Kidney cell,F8,0.1441742181777954,217
atlas SP,Kidney cell,F9,-0.10127716511487961,217
atlas SP,Kidney cell,F10,0.08289089053869247,217
atlas SP,Kidney cell,F11,0.08083905279636383,217
atlas SP,Kidney cell,F12,0.3586609363555908,217
atlas SP,Kidney cell,F13,0.1429981142282486,217
atlas SP,Kidney cell,F14,0.4870816171169281,217
atlas SP,Kidney cell,F15,0.08243811130523682,217
atlas SP,Kidney cell,F16,0.4047188460826874,217
atlas SP,Kidney cell,F17,0.450635701417923,217
atlas SP,Kidney cell,F18,0.24132446944713593,217
atlas SP,Kidney cell,F19,0.16889044642448425,217
atlas SP,Kidney cell,F20,0.017634879797697067,217
atlas SP,Neuroepithelial cell,F1,-0.46833717823028564,117
atlas SP,Neuroepithelial cell,F2,-0.5146771669387817,117
atlas SP,Neuroepithelial cell,F3,-0.3334049582481384,117
atlas SP,Neuroepithelial cell,F4,-0.15853866934776306,117
atlas SP,Neuroepithelial cell,F5,-0.2389254868030548,117
atlas SP,Neuroepithelial cell,F6,-0.19444866478443146,117
atlas SP,Neuroepithelial cell,F7,-0.00032895428012125194,117
atlas SP,Neuroepithelial cell,F8,0.19800736010074615,117
atlas SP,Neuroepithelial cell,F9,-0.05997882038354874,117
atlas SP,Neuroepithelial cell,F10,-0.055803198367357254,117
atlas SP,Neuroepithelial cell,F11,0.08128785341978073,117
atlas SP,Neuroepithelial cell,F12,0.24699734151363373,117
atlas SP,Neuroepithelial cell,F13,0.18411770462989807,117
atlas SP,Neuroepithelial cell,F14,0.6567880511283875,117
atlas SP,Neuroepithelial cell,F15,0.02852511778473854,117
atlas SP,Neuroepithelial cell,F16,0.15742799639701843,117
atlas SP,Neuroepithelial cell,F17,0.39329132437705994,117
atlas SP,Neuroepithelial cell,F18,1.758467197418213,117
atlas SP,Neuroepithelial cell,F19,0.4851173758506775,117
atlas SP,Neuroepithelial cell,F20,0.29972386360168457,117
logit homo,Neuron,F1,1.2220395803451538,53205
logit homo,Neuron,F2,-0.026802564039826393,53205
logit homo,Neuron,F3,0.05190932750701904,53205
logit homo,Neuron,F4,0.11726590245962143,53205
logit homo,Neuron,F5,0.02662295289337635,53205
logit homo,Neuron,F6,0.006544909905642271,53205
logit homo,Neuron,F7,0.0017229729564860463,53205
logit homo,Neuron,F8,0.017124073579907417,53205
logit homo,Neuron,F9,-0.005393218249082565,53205
logit homo,Neuron,F10,0.060932643711566925,53205
logit homo,Neuron,F11,-0.09872248768806458,53205
logit homo,Neuron,F12,-0.06987294554710388,53205
logit homo,Neuron,F13,-0.7952054738998413,53205
logit homo,Immune cell,F1,-0.7505784630775452,26315
logit homo,Immune cell,F2,0.10222534835338593,26315
logit homo,Immune cell,F3,-0.10197395086288452,26315
logit homo,Immune cell,F4,0.060067009180784225,26315
logit homo,Immune cell,F5,-0.16276958584785461,26315
logit homo,Immune cell,F6,-1.1800413131713867,26315
logit homo,Immune cell,F7,0.49835026264190674,26315
logit homo,Immune cell,F8,0.09549829363822937,26315
logit homo,Immune cell,F9,-0.8530982136726379,26315
logit homo,Immune cell,F10,0.25986629724502563,26315
logit homo,Immune cell,F11,0.31465408205986023,26315
logit homo,Immune cell,F12,-0.22125163674354553,26315
logit homo,Immune cell,F13,0.8163045644760132,26315
logit homo,Glial cell,F1,-0.5997068285942078,15127
logit homo,Glial cell,F2,1.215964913368225,15127
logit homo,Glial cell,F3,0.6609229445457458,15127
logit homo,Glial cell,F4,-0.13568605482578278,15127
logit homo,Glial cell,F5,0.018620027229189873,15127
logit homo,Glial cell,F6,-0.6481281518936157,15127
logit homo,Glial cell,F7,-0.8610564470291138,15127
logit homo,Glial cell,F8,-0.6809321045875549,15127
logit homo,Glial cell,F9,1.442236065864563,15127
logit homo,Glial cell,F10,-0.15097002685070038,15127
logit homo,Glial cell,F11,0.06371132284402847,15127
logit homo,Glial cell,F12,-0.06499776244163513,15127
logit homo,Glial cell,F13,0.5686563849449158,15127
logit homo,Epithelial cell,F1,-0.7604848742485046,14590
logit homo,Epithelial cell,F2,-0.8803277611732483,14590
logit homo,Epithelial cell,F3,-0.04377767816185951,14590
logit homo,Epithelial cell,F4,-0.5288640260696411,14590
logit homo,Epithelial cell,F5,-0.13967731595039368,14590
logit homo,Epithelial cell,F6,0.8228780627250671,14590
logit homo,Epithelial cell,F7,1.1619681119918823,14590
logit homo,Epithelial cell,F8,-0.9736074209213257,14590
logit homo,Epithelial cell,F9,0.3736580014228821,14590
logit homo,Epithelial cell,F10,0.21801140904426575,14590
logit homo,Epithelial cell,F11,-0.48225417733192444,14590
logit homo,Epithelial cell,F12,0.5219682455062866,14590
logit homo,Epithelial cell,F13,0.23947036266326904,14590
logit homo,Stem cell,F1,-0.8928783535957336,8661
logit homo,Stem cell,F2,-0.031949371099472046,8661
logit homo,Stem cell,F3,-0.09279100596904755,8661
logit homo,Stem cell,F4,-0.0843069776892662,8661
logit homo,Stem cell,F5,0.0785941481590271,8661
logit homo,Stem cell,F6,0.9838777780532837,8661
logit homo,Stem cell,F7,0.15842990577220917,8661
logit homo,Stem cell,F8,1.0127646923065186,8661
logit homo,Stem cell,F9,-0.03482935205101967,8661
logit homo,Stem cell,F10,-0.8086932897567749,8661
logit homo,Stem cell,F11,0.24392399191856384,8661
logit homo,Stem cell,F12,-1.2735798358917236,8661
logit homo,Stem cell,F13,-0.27887964248657227,8661
logit homo,Vascular cell,F1,-0.7193930149078369,7476
logit homo,Vascular cell,F2,-0.07267724722623825,7476
logit homo,Vascular cell,F3,-0.5161765217781067,7476
logit homo,Vascular cell,F4,1.0525304079055786,7476
logit homo,Vascular cell,F5,0.1258610486984253,7476
logit homo,Vascular cell,F6,0.479544460773468,7476
logit homo,Vascular cell,F7,-1.1613152027130127,7476
logit homo,Vascular cell,F8,0.6144441962242126,7476
logit homo,Vascular cell,F9,-0.666881799697876,7476
logit homo,Vascular cell,F10,-0.3936827778816223,7476
logit homo,Vascular cell,F11,-0.523827314376831,7476
logit homo,Vascular cell,F12,2.0770318508148193,7476
logit homo,Vascular cell,F13,0.7091556191444397,7476
logit homo,Stromal cell,F1,-0.880351722240448,5401
logit homo,Stromal cell,F2,-0.05390307307243347,5401
logit homo,Stromal cell,F3,-0.5636541843414307,5401
logit homo,Stromal cell,F4,-0.7173149585723877,5401
logit homo,Stromal cell,F5,-0.27577415108680725,5401
logit homo,Stromal cell,F6,1.6119383573532104,5401
logit homo,Stromal cell,F7,-1.3409956693649292,5401
logit homo,Stromal cell,F8,0.70657879114151,5401
logit homo,Stromal cell,F9,-0.2950748801231384,5401
logit homo,Stromal cell,F10,0.2018474042415619,5401
logit homo,Stromal cell,F11,0.44669073820114136,5401
logit homo,Stromal cell,F12,-1.5003968477249146,5401
logit homo,Stromal cell,F13,-0.04966722056269646,5401
logit homo,Muscle cell,F1,-0.7154325842857361,4930
logit homo,Muscle cell,F2,-0.5118826031684875,4930
logit homo,Muscle cell,F3,-0.3983583152294159,4930
logit homo,Muscle cell,F4,0.2169959545135498,4930
logit homo,Muscle cell,F5,0.31164807081222534,4930
logit homo,Muscle cell,F6,0.6229374408721924,4930
logit homo,Muscle cell,F7,-1.102399230003357,4930
logit homo,Muscle cell,F8,-0.33154842257499695,4930
logit homo,Muscle cell,F9,-0.4809779226779938,4930
logit homo,Muscle cell,F10,-0.843508243560791,4930
logit homo,Muscle cell,F11,-0.10574895143508911,4930
logit homo,Muscle cell,F12,0.7801241278648376,4930
logit homo,Muscle cell,F13,0.6229281425476074,4930
logit homo,Pancreatic cell,F1,-0.3215760290622711,2194
logit homo,Pancreatic cell,F2,-0.44639649987220764,2194
logit homo,Pancreatic cell,F3,0.2810664176940918,2194
logit homo,Pancreatic cell,F4,-0.2448631227016449,2194
logit homo,Pancreatic cell,F5,1.1288219690322876,2194
logit homo,Pancreatic cell,F6,0.6714122295379639,2194
logit homo,Pancreatic cell,F7,0.3532637357711792,2194
logit homo,Pancreatic cell,F8,0.37490114569664,2194
logit homo,Pancreatic cell,F9,0.6546900272369385,2194
logit homo,Pancreatic cell,F10,0.35556215047836304,2194
logit homo,Pancreatic cell,F11,0.6694607138633728,2194
logit homo,Pancreatic cell,F12,0.01632409542798996,2194
logit homo,Pancreatic cell,F13,0.4884754717350006,2194
logit homo,Intestinal cell,F1,-0.670720636844635,1450
logit homo,Intestinal cell,F2,-0.8490071892738342,1450
logit homo,Intestinal cell,F3,0.10735390335321426,1450
logit homo,Intestinal cell,F4,-0.6040195226669312,1450
logit homo,Intestinal cell,F5,0.0963255912065506,1450
logit homo,Intestinal cell,F6,0.47480568289756775,1450
logit homo,Intestinal cell,F7,1.7529306411743164,1450
logit homo,Intestinal cell,F8,1.738767147064209,1450
logit homo,Intestinal cell,F9,1.7736129760742188,1450
logit homo,Intestinal cell,F10,0.6137853860855103,1450
logit homo,Intestinal cell,F11,0.7013440728187561,1450
logit homo,Intestinal cell,F12,1.0638381242752075,1450
logit homo,Intestinal cell,F13,0.37581849098205566,1450
logit homo,Liver cell,F1,-0.3893466293811798,723
logit homo,Liver cell,F2,-0.9408299922943115,723
logit homo,Liver cell,F3,-0.1917698085308075,723
logit homo,Liver cell,F4,-0.8890867233276367,723
logit homo,Liver cell,F5,0.012279444374144077,723
