embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Fibroblast,F20,-0.05826614424586296,4600
atlas SP,Hippocampal neuron,F1,0.8705160021781921,4476
atlas SP,Hippocampal neuron,F2,0.09497202932834625,4476
atlas SP,Hippocampal neuron,F3,0.6778407692909241,4476
atlas SP,Hippocampal neuron,F4,-0.18507085740566254,4476
atlas SP,Hippocampal neuron,F5,-0.11582716554403305,4476
atlas SP,Hippocampal neuron,F6,-0.7361162304878235,4476
atlas SP,Hippocampal neuron,F7,-0.2229825109243393,4476
atlas SP,Hippocampal neuron,F8,3.0190117359161377,4476
atlas SP,Hippocampal neuron,F9,-0.2601855397224426,4476
atlas SP,Hippocampal neuron,F10,-0.5075957179069519,4476
atlas SP,Hippocampal neuron,F11,-0.16555345058441162,4476
atlas SP,Hippocampal neuron,F12,-0.23448054492473602,4476
atlas SP,Hippocampal neuron,F13,-0.7363051772117615,4476
atlas SP,Hippocampal neuron,F14,0.5773579478263855,4476
atlas SP,Hippocampal neuron,F15,-0.27209576964378357,4476
atlas SP,Hippocampal neuron,F16,-0.14332324266433716,4476
atlas SP,Hippocampal neuron,F17,-0.1628631204366684,4476
atlas SP,Hippocampal neuron,F18,-0.141841858625412,4476
atlas SP,Hippocampal neuron,F19,-0.055353861302137375,4476
atlas SP,Hippocampal neuron,F20,-0.09538543969392776,4476
atlas SP,T cell,F1,-0.5699875354766846,3571
atlas SP,T cell,F2,-0.42322203516960144,3571
atlas SP,T cell,F3,-0.6079089045524597,3571
atlas SP,T cell,F4,-0.30909350514411926,3571
atlas SP,T cell,F5,-0.3390691578388214,3571
atlas SP,T cell,F6,-0.27222010493278503,3571
atlas SP,T cell,F7,-0.16267569363117218,3571
atlas SP,T cell,F8,-0.42054450511932373,3571
atlas SP,T cell,F9,0.2876693606376648,3571
atlas SP,T cell,F10,-0.46518474817276,3571
atlas SP,T cell,F11,-0.1336793452501297,3571
atlas SP,T cell,F12,-0.06652578711509705,3571
atlas SP,T cell,F13,1.588934302330017,3571
atlas SP,T cell,F14,-0.27108877897262573,3571
atlas SP,T cell,F15,-0.0511331669986248,3571
atlas SP,T cell,F16,0.32181602716445923,3571
atlas SP,T cell,F17,0.12935586273670197,3571
atlas SP,T cell,F18,-0.05657583475112915,3571
atlas SP,T cell,F19,-0.23127463459968567,3571
atlas SP,T cell,F20,-0.03853767737746239,3571
atlas SP,Intestinal epithelial cell,F1,-0.5639790296554565,3016
atlas SP,Intestinal epithelial cell,F2,-0.39381805062294006,3016
atlas SP,Intestinal epithelial cell,F3,-0.5978778004646301,3016
atlas SP,Intestinal epithelial cell,F4,-0.2925982177257538,3016
atlas SP,Intestinal epithelial cell,F5,-0.3255090117454529,3016
atlas SP,Intestinal epithelial cell,F6,-0.5683158040046692,3016
atlas SP,Intestinal epithelial cell,F7,-0.12560006976127625,3016
atlas SP,Intestinal epithelial cell,F8,-0.42481568455696106,3016
atlas SP,Intestinal epithelial cell,F9,-0.12364785373210907,3016
atlas SP,Intestinal epithelial cell,F10,-0.4170825183391571,3016
atlas SP,Intestinal epithelial cell,F11,3.4299793243408203,3016
atlas SP,Intestinal epithelial cell,F12,0.9515909552574158,3016
atlas SP,Intestinal epithelial cell,F13,1.6307207345962524,3016
atlas SP,Intestinal epithelial cell,F14,-0.21569311618804932,3016
atlas SP,Intestinal epithelial cell,F15,-0.1573820412158966,3016
atlas SP,Intestinal epithelial cell,F16,0.31863951683044434,3016
